,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.6595671930681151,0.12225613943605118,1.335420172837756,5
1,1,B,1.407491010466088,0.45275648684132463,2.7646637081199534,1
2,2,C,0.5446739172104643,0.16316946887878536,1.000165222241668,3
3,3,D,0.6276854326310202,0.27191109783603334,1.2147754209332915,3
4,4,E,0.9286534102040357,0.7030093593669793,1.5674568244424423,7
5,5,F,1.2164534165281544,0.20370459914424072,6.004072384078796,1
6,6,G,0.9249183662667364,0.559724847856265,1.2080163099466765,3
7,7,H,1.3435882624540265,0.4181612574068104,2.6977061240278917,4
8,8,I,0.8509727402196137,0.318059022932373,3.2243968441077113,3
9,9,J,1.0589238191790082,0.34916484863551916,2.5053440722949207,5
10,10,K,0.29291125482344754,0.037983586890969145,4.149186402715895,7
11,11,L,1.7201182787690712,0.5201602152082118,2.058900524682409,1
